County,Census,Estimates Base,Today,,,,,
Conway,"21,273","21,267",20846,,,".Conway County, Arkansas",,,
Craighead,"96,443","96,443",110332,,,".Craighead County, Arkansas",,,
Crawford,"61,948","61,935",63257,,,".Crawford County, Arkansas",,,
Crittenden,"50,902","50,907",47955,,,".Crittenden County, Arkansas",,,
Cross,"17,870","17,878",16419,,,".Cross County, Arkansas",,,
Dallas,"8,116","8,124",7009,,,".Dallas County, Arkansas",,,
Desha,"13,008","13,002",11361,,,".Desha County, Arkansas",,,
Drew,"18,509","18,517",18219,,,".Drew County, Arkansas",,,
Faulkner,"113,237","113,238",126007,,,".Faulkner County, Arkansas",,,
Franklin,"18,125","18,137",17715,,,".Franklin County, Arkansas",,,
Fulton,"12,245","12,236",12477,,,".Fulton County, Arkansas",,,
Garland,"96,024","95,999",99386,,,".Garland County, Arkansas",,,
Grant,"17,853","17,842",18265,,,".Grant County, Arkansas",,,
Greene,"42,090","42,090",45325,,,".Greene County, Arkansas",,,
Hempstead,"22,609","22,587",21532,,,".Hempstead County, Arkansas",,,
Hot Spring,"32,923","33,011",33771,,,".Hot Spring County, Arkansas",,,
Howard,"13,789","13,781",13202,,,".Howard County, Arkansas",,,
Independence,"36,647","36,641",37825,,,".Independence County, Arkansas",,,
Izard,"13,696","13,703",13629,,,".Izard County, Arkansas",,,
Jackson,"17,997","17,998",16719,,,".Jackson County, Arkansas",,,
Jefferson,"77,435","77,456",66824,,,".Jefferson County, Arkansas",,,
Johnson,"25,540","25,545",26578,,,".Johnson County, Arkansas",,,
Lafayette,"7,645","7,643",6624,,,".Lafayette County, Arkansas",,,
Lawrence,"17,415","17,410",16406,,,".Lawrence County, Arkansas",,,
Lee,"10,424","10,428",8857,,,".Lee County, Arkansas",,,
Lincoln,"14,134","14,141",13024,,,".Lincoln County, Arkansas",,,
Little River,"13,171","13,168",12259,,,".Little River County, Arkansas",,,
Logan,"22,353","22,361",21466,,,".Logan County, Arkansas",,,
Lonoke,"68,356","68,382",73309,,,".Lonoke County, Arkansas",,,
Madison,"15,717","15,723",16576,,,".Madison County, Arkansas",,,
Marion,"16,653","16,644",16694,,,".Marion County, Arkansas",,,
Miller,"43,462","43,462",43257,,,".Miller County, Arkansas",,,
Mississippi,"46,480","46,481",40651,,,".Mississippi County, Arkansas",,,
Monroe,"8,149","8,155",6701,,,".Monroe County, Arkansas",,,
Montgomery,"9,487","9,497",8986,,,".Montgomery County, Arkansas",,,
Nevada,"8,997","9,020",8252,,,".Nevada County, Arkansas",,,
Newton,"8,330","8,315",7753,,,".Newton County, Arkansas",,,
