County,Census,Estimates Base,Today,,,,,
Henry,"22,272","22,291",21824,,,".Henry County, Missouri",,,
Hickory,"9,627","9,629",9544,,,".Hickory County, Missouri",,,
Holt,"4,912","4,912",4403,,,".Holt County, Missouri",,,
Howard,"10,144","10,142",10001,,,".Howard County, Missouri",,,
Howell,"40,400","40,386",40117,,,".Howell County, Missouri",,,
Iron,"10,630","10,615",10125,,,".Iron County, Missouri",,,
Jackson,"674,158","674,166",703011,,,".Jackson County, Missouri",,,
Jasper,"117,404","117,391",121328,,,".Jasper County, Missouri",,,
Jefferson,"218,733","218,722",225081,,,".Jefferson County, Missouri",,,
Johnson,"52,595","52,565",54062,,,".Johnson County, Missouri",,,
Knox,"4,131","4,131",3959,,,".Knox County, Missouri",,,
Laclede,"35,571","35,596",35723,,,".Laclede County, Missouri",,,
Lafayette,"33,381","33,369",32708,,,".Lafayette County, Missouri",,,
Lawrence,"38,634","38,647",38355,,,".Lawrence County, Missouri",,,
Lewis,"10,211","10,209",9776,,,".Lewis County, Missouri",,,
Lincoln,"52,566","52,536",59013,,,".Lincoln County, Missouri",,,
Linn,"12,761","12,773",11920,,,".Linn County, Missouri",,,
Livingston,"15,195","15,196",15227,,,".Livingston County, Missouri",,,
McDonald,"23,083","23,083",22837,,,".McDonald County, Missouri",,,
Macon,"15,566","15,566",15117,,,".Macon County, Missouri",,,
Madison,"12,226","12,217",12088,,,".Madison County, Missouri",,,
Maries,"9,176","9,153",8697,,,".Maries County, Missouri",,,
Marion,"28,781","28,781",28530,,,".Marion County, Missouri",,,
Mercer,"3,785","3,785",3617,,,".Mercer County, Missouri",,,
Miller,"24,748","24,748",25619,,,".Miller County, Missouri",,,
Mississippi,"14,358","14,376",13180,,,".Mississippi County, Missouri",,,
Moniteau,"15,607","15,605",16132,,,".Moniteau County, Missouri",,,
Monroe,"8,840","8,844",8644,,,".Monroe County, Missouri",,,
Montgomery,"12,236","12,224",11551,,,".Montgomery County, Missouri",,,
Morgan,"20,565","20,567",20627,,,".Morgan County, Missouri",,,
New Madrid,"18,956","18,940",17076,,,".New Madrid County, Missouri",,,
Newton,"58,114","58,118",58236,,,".Newton County, Missouri",,,
Nodaway,"23,370","23,373",22092,,,".Nodaway County, Missouri",,,
Oregon,"10,881","10,881",10529,,,".Oregon County, Missouri",,,
Osage,"13,878","13,909",13615,,,".Osage County, Missouri",,,
Ozark,"9,723","9,728",9174,,,".Ozark County, Missouri",,,
Pemiscot,"18,296","18,287",15805,,,".Pemiscot County, Missouri",,,
Perry,"18,971","18,971",19136,,,".Perry County, Missouri",,,
Pettis,"42,201","42,214",42339,,,".Pettis County, Missouri",,,
Phelps,"45,156","45,124",44573,,,".Phelps County, Missouri",,,
Pike,"18,516","18,511",18302,,,".Pike County, Missouri",,,
Platte,"89,322","89,329",104418,,,".Platte County, Missouri",,,
Polk,"31,137","31,130",32149,,,".Polk County, Missouri",,,
Pulaski,"52,274","52,282",52607,,,".Pulaski County, Missouri",,,
Putnam,"4,979","4,979",4696,,,".Putnam County, Missouri",,,
Ralls,"10,167","10,175",10309,,,".Ralls County, Missouri",,,
Randolph,"25,414","25,418",24748,,,".Randolph County, Missouri",,,
Ray,"23,494","23,516",23018,,,".Ray County, Missouri",,,
Reynolds,"6,696","6,690",6270,,,".Reynolds County, Missouri",,,
Ripley,"14,100","14,106",13288,,,".Ripley County, Missouri",,,
St. Charles,"360,485","360,495",402022,,,".St. Charles County, Missouri",,,
St. Clair,"9,805","9,805",9397,,,".St. Clair County, Missouri",,,
Ste. Genevieve,"18,145","18,147",17894,,,".Ste. Genevieve County, Missouri",,,
St. Francois,"65,359","65,369",67215,,,".St. Francois County, Missouri",,,
St. Louis,"998,954","998,985",994205,,,".St. Louis County, Missouri",,,
Saline,"23,370","23,370",22761,,,".Saline County, Missouri",,,
Schuyler,"4,431","4,431",4660,,,".Schuyler County, Missouri",,,
Scotland,"4,843","4,853",4902,,,".Scotland County, Missouri",,,
Scott,"39,191","39,199",38280,,,".Scott County, Missouri",,,
Shannon,"8,441","8,435",8166,,,".Shannon County, Missouri",,,
Shelby,"6,373","6,372",5930,,,".Shelby County, Missouri",,,
Stoddard,"29,968","29,968",29025,,,".Stoddard County, Missouri",,,
Stone,"32,202","32,208",31952,,,".Stone County, Missouri",,,
Sullivan,"6,714","6,714",6089,,,".Sullivan County, Missouri",,,
Taney,"51,675","51,672",55928,,,".Taney County, Missouri",,,
Texas,"26,008","26,016",25398,,,".Texas County, Missouri",,,
Vernon,"21,159","21,163",20563,,,".Vernon County, Missouri",,,
Warren,"32,513","32,539",35649,,,".Warren County, Missouri",,,
Washington,"25,195","25,201",24730,,,".Washington County, Missouri",,,
Wayne,"13,521","13,535",12873,,,".Wayne County, Missouri",,,
Webster,"36,202","36,264",39592,,,".Webster County, Missouri",,,
Worth,"2,171","2,169",2013,,,".Worth County, Missouri",,,
Wright,"18,815","18,742",18289,,,".Wright County, Missouri",,,
St. Louis city,"319,294","319,289",300576,,,".St. Louis city, Missouri",,,
Beaverhead,"9,246","9,246",9453,,,".Beaverhead County, Montana",,,
Big Horn,"12,865","12,863",13319,,,".Big Horn County, Montana",,,
Blaine,"6,491","6,491",6681,,,".Blaine County, Montana",,,
Broadwater,"5,612","5,608",6237,,,".Broadwater County, Montana",,,
Carbon,"10,078","10,078",10725,,,".Carbon County, Montana",,,
Carter,"1,160","1,160",1252,,,".Carter County, Montana",,,
Cascade,"81,327","81,326",81366,,,".Cascade County, Montana",,,
Chouteau,"5,813","5,813",5635,,,".Chouteau County, Montana",,,
Custer,"11,699","11,699",11402,,,".Custer County, Montana",,,
Daniels,"1,751","1,751",1690,,,".Daniels County, Montana",,,
Dawson,"8,966","8,963",8613,,,".Dawson County, Montana",,,
Deer Lodge,"9,298","9,294",9140,,,".Deer Lodge County, Montana",,,
Fallon,"2,890","2,890",2846,,,".Fallon County, Montana",,,
Fergus,"11,586","11,590",11050,,,".Fergus County, Montana",,,
Flathead,"90,928","90,927",103806,,,".Flathead County, Montana",,,
Gallatin,"89,513","89,515",114434,,,".Gallatin County, Montana",,,
Garfield,"1,206","1,209",1258,,,".Garfield County, Montana",,,
Glacier,"13,399","13,399",13753,,,".Glacier County, Montana",,,
Golden Valley,884,884,821,,,".Golden Valley County, Montana",,,
Granite,"3,079","3,074",3379,,,".Granite County, Montana",,,
Hill,"16,096","16,096",16484,,,".Hill County, Montana",,,
Jefferson,"11,406","11,403",12221,,,".Jefferson County, Montana",,,
Judith Basin,"2,072","2,072",2007,,,".Judith Basin County, Montana",,,
Lake,"28,746","28,748",30458,,,".Lake County, Montana",,,
Lewis and Clark,"63,395","63,394",69432,,,".Lewis and Clark County, Montana",,,
Liberty,"2,339","2,339",2337,,,".Liberty County, Montana",,,
Lincoln,"19,687","19,683",19980,,,".Lincoln County, Montana",,,
McCone,"1,734","1,734",1664,,,".McCone County, Montana",,,
Madison,"7,691","7,691",8600,,,".Madison County, Montana",,,
Meagher,"1,891","1,891",1862,,,".Meagher County, Montana",,,
Mineral,"4,223","4,229",4397,,,".Mineral County, Montana",,,
Missoula,"109,299","109,296",119600,,,".Missoula County, Montana",,,
Musselshell,"4,538","4,538",4633,,,".Musselshell County, Montana",,,
Park,"15,636","15,635",16606,,,".Park County, Montana",,,
Petroleum,494,488,487,,,".Petroleum County, Montana",,,
Phillips,"4,253","4,252",3954,,,".Phillips County, Montana",,,
Pondera,"6,153","6,155",5911,,,".Pondera County, Montana",,,
Powder River,"1,743","1,743",1682,,,".Powder River County, Montana",,,
Powell,"7,027","7,034",6890,,,".Powell County, Montana",,,
Prairie,"1,179","1,179",1077,,,".Prairie County, Montana",,,
Ravalli,"40,212","40,210",43806,,,".Ravalli County, Montana",,,
Richland,"9,746","9,746",10803,,,".Richland County, Montana",,,
Roosevelt,"10,425","10,425",11004,,,".Roosevelt County, Montana",,,
Rosebud,"9,233","9,235",8937,,,".Rosebud County, Montana",,,
Sanders,"11,413","11,413",12113,,,".Sanders County, Montana",,,
Sheridan,"3,384","3,384",3309,,,".Sheridan County, Montana",,,
Silver Bow,"34,200","34,209",34915,,,".Silver Bow County, Montana",,,
Stillwater,"9,117","9,096",9642,,,".Stillwater County, Montana",,,
Sweet Grass,"3,651","3,651",3737,,,".Sweet Grass County, Montana",,,
Teton,"6,073","6,071",6147,,,".Teton County, Montana",,,
Toole,"5,324","5,324",4736,,,".Toole County, Montana",,,
Treasure,718,718,696,,,".Treasure County, Montana",,,
Valley,"7,369","7,369",7396,,,".Valley County, Montana",,,
Wheatland,"2,168","2,168",2126,,,".Wheatland County, Montana",,,
Wibaux,"1,017","1,017",969,,,".Wibaux County, Montana",,,
Yellowstone,"147,972","147,991",161300,,,".Yellowstone County, Montana",,,
Adams,"31,364","31,367",31363,,,".Adams County, Nebraska",,,
Antelope,"6,685","6,685",6298,,,".Antelope County, Nebraska",,,
Arthur,460,460,463,,,".Arthur County, Nebraska",,,
Banner,690,690,745,,,".Banner County, Nebraska",,,
Blaine,478,478,465,,,".Blaine County, Nebraska",,,
Boone,"5,505","5,505",5192,,,".Boone County, Nebraska",,,
Box Butte,"11,308","11,308",10783,,,".Box Butte County, Nebraska",,,
Boyd,"2,099","2,099",1919,,,".Boyd County, Nebraska",,,
Brown,"3,145","3,143",2955,,,".Brown County, Nebraska",,,
Buffalo,"46,102","46,099",49659,,,".Buffalo County, Nebraska",,,
Burt,"6,858","6,858",6459,,,".Burt County, Nebraska",,,
Butler,"8,395","8,395",8016,,,".Butler County, Nebraska",,,
Cass,"25,241","25,241",26248,,,".Cass County, Nebraska",,,
Cedar,"8,852","8,852",8402,,,".Cedar County, Nebraska",,,
Chase,"3,966","3,966",3924,,,".Chase County, Nebraska",,,
Cherry,"5,713","5,713",5689,,,".Cherry County, Nebraska",,,
Cheyenne,"9,998","9,998",8910,,,".Cheyenne County, Nebraska",,,
Clay,"6,542","6,539",6203,,,".Clay County, Nebraska",,,
Colfax,"10,515","10,515",10709,,,".Colfax County, Nebraska",,,
Cuming,"9,139","9,139",8846,,,".Cuming County, Nebraska",,,
Custer,"10,939","10,939",10777,,,".Custer County, Nebraska",,,
Dakota,"21,006","21,006",20026,,,".Dakota County, Nebraska",,,
Dawes,"9,182","9,182",8589,,,".Dawes County, Nebraska",,,
Dawson,"24,326","24,326",23595,,,".Dawson County, Nebraska",,,
Deuel,"1,941","1,932",1794,,,".Deuel County, Nebraska",,,
Dixon,"6,000","6,003",5636,,,".Dixon County, Nebraska",,,
Dodge,"36,691","36,685",36565,,,".Dodge County, Nebraska",,,
Douglas,"517,110","517,116",571327,,,".Douglas County, Nebraska",,,
Dundy,"2,008","2,008",1693,,,".Dundy County, Nebraska",,,
Fillmore,"5,890","5,890",5462,,,".Fillmore County, Nebraska",,,
Franklin,"3,225","3,225",2979,,,".Franklin County, Nebraska",,,
Frontier,"2,756","2,756",2627,,,".Frontier County, Nebraska",,,
Furnas,"4,959","4,959",4676,,,".Furnas County, Nebraska",,,
Gage,"22,311","22,311",21513,,,".Gage County, Nebraska",,,
Garden,"2,057","2,057",1837,,,".Garden County, Nebraska",,,
Garfield,"2,049","2,049",1969,,,".Garfield County, Nebraska",,,
Gosper,"2,044","2,044",1990,,,".Gosper County, Nebraska",,,
Grant,614,614,623,,,".Grant County, Nebraska",,,
Greeley,"2,538","2,538",2356,,,".Greeley County, Nebraska",,,
Hall,"58,607","58,611",61353,,,".Hall County, Nebraska",,,
Hamilton,"9,124","9,114",9324,,,".Hamilton County, Nebraska",,,
Harlan,"3,423","3,417",3380,,,".Harlan County, Nebraska",,,
Hayes,967,960,922,,,".Hayes County, Nebraska",,,
Hitchcock,"2,908","2,908",2762,,,".Hitchcock County, Nebraska",,,
Holt,"10,435","10,435",10067,,,".Holt County, Nebraska",,,
Hooker,736,736,682,,,".Hooker County, Nebraska",,,
Howard,"6,274","6,274",6445,,,".Howard County, Nebraska",,,
Jefferson,"7,547","7,547",7046,,,".Jefferson County, Nebraska",,,
Johnson,"5,217","5,217",5071,,,".Johnson County, Nebraska",,,
Kearney,"6,489","6,489",6495,,,".Kearney County, Nebraska",,,
Keith,"8,368","8,371",8034,,,".Keith County, Nebraska",,,
Keya Paha,824,824,806,,,".Keya Paha County, Nebraska",,,
Kimball,"3,821","3,821",3632,,,".Kimball County, Nebraska",,,
Knox,"8,701","8,701",8332,,,".Knox County, Nebraska",,,
Lancaster,"285,407","285,407",319090,,,".Lancaster County, Nebraska",,,
Lincoln,"36,288","36,288",34914,,,".Lincoln County, Nebraska",,,
Logan,763,763,748,,,".Logan County, Nebraska",,,
Loup,632,628,664,,,".Loup County, Nebraska",,,
McPherson,539,539,494,,,".McPherson County, Nebraska",,,
Madison,"34,876","34,876",35099,,,".Madison County, Nebraska",,,
Merrick,"7,845","7,859",7755,,,".Merrick County, Nebraska",,,
Morrill,"5,042","5,042",4642,,,".Morrill County, Nebraska",,,
Nance,"3,735","3,735",3519,,,".Nance County, Nebraska",,,
Nemaha,"7,248","7,248",6972,,,".Nemaha County, Nebraska",,,
Nuckolls,"4,500","4,500",4148,,,".Nuckolls County, Nebraska",,,
Otoe,"15,740","15,740",16012,,,".Otoe County, Nebraska",,,
Pawnee,"2,773","2,773",2613,,,".Pawnee County, Nebraska",,,
Perkins,"2,970","2,967",2891,,,".Perkins County, Nebraska",,,
Phelps,"9,188","9,188",9034,,,".Phelps County, Nebraska",,,
Pierce,"7,266","7,266",7148,,,".Pierce County, Nebraska",,,
Platte,"32,237","32,237",33470,,,".Platte County, Nebraska",,,
Polk,"5,406","5,402",5213,,,".Polk County, Nebraska",,,
Red Willow,"11,055","11,055",10724,,,".Red Willow County, Nebraska",,,
Richardson,"8,363","8,363",7865,,,".Richardson County, Nebraska",,,
Rock,"1,526","1,528",1357,,,".Rock County, Nebraska",,,
Saline,"14,200","14,200",14224,,,".Saline County, Nebraska",,,
Sarpy,"158,840","158,835",187196,,,".Sarpy County, Nebraska",,,
Saunders,"20,780","20,778",21578,,,".Saunders County, Nebraska",,,
Scotts Bluff,"36,970","36,970",35618,,,".Scotts Bluff County, Nebraska",,,
Seward,"16,750","16,750",17284,,,".Seward County, Nebraska",,,
Sheridan,"5,469","5,469",5246,,,".Sheridan County, Nebraska",,,
Sherman,"3,152","3,152",3001,,,".Sherman County, Nebraska",,,
Sioux,"1,311","1,311",1166,,,".Sioux County, Nebraska",,,
Stanton,"6,129","6,128",5920,,,".Stanton County, Nebraska",,,
Thayer,"5,228","5,228",5003,,,".Thayer County, Nebraska",,,
Thomas,647,647,722,,,".Thomas County, Nebraska",,,
Thurston,"6,940","6,939",7224,,,".Thurston County, Nebraska",,,
Valley,"4,260","4,260",4158,,,".Valley County, Nebraska",,,
Washington,"20,234","20,232",20729,,,".Washington County, Nebraska",,,
Wayne,"9,595","9,592",9385,,,".Wayne County, Nebraska",,,
Webster,"3,812","3,812",3487,,,".Webster County, Nebraska",,,
Wheeler,818,818,783,,,".Wheeler County, Nebraska",,,
York,"13,665","13,665",13679,,,".York County, Nebraska",,,
Churchill,"24,877","24,875",24909,,,".Churchill County, Nevada",,,
Clark,"1,951,269","1,951,268",2266715,,,".Clark County, Nevada",,,
Douglas,"46,997","47,000",48905,,,".Douglas County, Nevada",,,
Elko,"48,818","48,942",52778,,,".Elko County, Nevada",,,
Esmeralda,783,784,873,,,".Esmeralda County, Nevada",,,
Eureka,"1,987","1,987",2029,,,".Eureka County, Nevada",,,
Humboldt,"16,528","16,521",16831,,,".Humboldt County, Nevada",,,
Lander,"5,775","5,775",5532,,,".Lander County, Nevada",,,
Lincoln,"5,345","5,339",5183,,,".Lincoln County, Nevada",,,
Lyon,"51,980","51,982",57510,,,".Lyon County, Nevada",,,
Mineral,"4,772","4,770",4505,,,".Mineral County, Nevada",,,
Nye,"43,946","43,945",46523,,,".Nye County, Nevada",,,
Pershing,"6,753","6,752",6725,,,".Pershing County, Nevada",,,
Storey,"4,010","4,013",4123,,,".Storey County, Nevada",,,
Washoe,"421,407","421,429",471519,,,".Washoe County, Nevada",,,
White Pine,"10,030","10,026",9580,,,".White Pine County, Nevada",,,
Carson City,"55,274","55,269",55916,,,".Carson City, Nevada",,,
Belknap,"60,088","60,075",61303,,,".Belknap County, New Hampshire",,,
Carroll,"47,818","47,823",48910,,,".Carroll County, New Hampshire",,,
Cheshire,"77,117","77,122",76085,,,".Cheshire County, New Hampshire",,,
Coos,"33,055","33,052",31563,,,".Coos County, New Hampshire",,,
Grafton,"89,118","89,139",89886,,,".Grafton County, New Hampshire",,,
Hillsborough,"400,721","400,706",417025,,,".Hillsborough County, New Hampshire",,,
Merrimack,"146,445","146,451",151391,,,".Merrimack County, New Hampshire",,,
Rockingham,"295,223","295,204",309769,,,".Rockingham County, New Hampshire",,,
Strafford,"123,143","123,151",130633,,,".Strafford County, New Hampshire",,,
Sullivan,"43,742","43,739",43146,,,".Sullivan County, New Hampshire",,,
Atlantic,"274,549","274,525",263670,,,".Atlantic County, New Jersey",,,
Bergen,"905,116","905,107",932202,,,".Bergen County, New Jersey",,,
Burlington,"448,734","448,730",445349,,,".Burlington County, New Jersey",,,
Camden,"513,657","513,535",506471,,,".Camden County, New Jersey",,,
Cape May,"97,265","97,257",92039,,,".Cape May County, New Jersey",,,
Cumberland,"156,898","156,627",149527,,,".Cumberland County, New Jersey",,,
Essex,"783,969","783,891",798975,,,".Essex County, New Jersey",,,
Gloucester,"288,288","288,756",291636,,,".Gloucester County, New Jersey",,,
Hudson,"634,266","634,284",672391,,,".Hudson County, New Jersey",,,
Hunterdon,"128,349","127,361",124371,,,".Hunterdon County, New Jersey",,,
Mercer,"366,513","367,485",367430,,,".Mercer County, New Jersey",,,
Middlesex,"809,858","810,038",825062,,,".Middlesex County, New Jersey",,,
Monmouth,"630,380","630,362",618795,,,".Monmouth County, New Jersey",,,
Morris,"492,276","492,281",491845,,,".Morris County, New Jersey",,,
Ocean,"576,567","576,546",607186,,,".Ocean County, New Jersey",,,
Passaic,"501,226","501,600",501826,,,".Passaic County, New Jersey",,,
Salem,"66,083","66,072",62385,,,".Salem County, New Jersey",,,
Somerset,"323,444","323,479",328934,,,".Somerset County, New Jersey",,,
Sussex,"149,265","148,936",140488,,,".Sussex County, New Jersey",,,
Union,"536,499","536,464",556341,,,".Union County, New Jersey",,,
Warren,"108,692","108,642",105267,,,".Warren County, New Jersey",,,
Bernalillo,"662,564","662,477",679121,,,".Bernalillo County, New Mexico",,,
Catron,"3,725","3,727",3527,,,".Catron County, New Mexico",,,
Chaves,"65,645","65,648",64615,,,".Chaves County, New Mexico",,,
Cibola,"27,213","27,215",26675,,,".Cibola County, New Mexico",,,
Colfax,"13,750","13,751",11941,,,".Colfax County, New Mexico",,,
Curry,"48,376","48,376",48954,,,".Curry County, New Mexico",,,
De Baca,"2,022","2,024",1748,,,".De Baca County, New Mexico",,,
Doña Ana,"209,233","209,217",218195,,,".Doña Ana County, New Mexico",,,
Eddy,"53,829","53,828",58460,,,".Eddy County, New Mexico",,,
Grant,"29,514","29,512",26998,,,".Grant County, New Mexico",,,
Guadalupe,"4,687","4,688",4300,,,".Guadalupe County, New Mexico",,,
Harding,695,695,625,,,".Harding County, New Mexico",,,
Hidalgo,"4,894","4,898",4198,,,".Hidalgo County, New Mexico",,,
Lea,"64,727","64,726",71070,,,".Lea County, New Mexico",,,
Lincoln,"20,497","20,493",19572,,,".Lincoln County, New Mexico",,,
Los Alamos,"17,950","17,950",19369,,,".Los Alamos County, New Mexico",,,
Luna,"25,095","25,095",23709,,,".Luna County, New Mexico",,,
McKinley,"71,492","71,485",71367,,,".McKinley County, New Mexico",,,
Mora,"4,881","4,881",4521,,,".Mora County, New Mexico",,,
Otero,"63,797","63,832",67490,,,".Otero County, New Mexico",,,
Quay,"9,041","9,040",8253,,,".Quay County, New Mexico",,,
Rio Arriba,"40,246","40,220",38921,,,".Rio Arriba County, New Mexico",,,
Roosevelt,"19,846","19,840",18500,,,".Roosevelt County, New Mexico",,,
Sandoval,"131,561","131,621",146748,,,".Sandoval County, New Mexico",,,
San Juan,"130,044","130,045",123958,,,".San Juan County, New Mexico",,,
San Miguel,"29,393","29,375",27277,,,".San Miguel County, New Mexico",,,
Santa Fe,"144,170","144,232",150358,,,".Santa Fe County, New Mexico",,,
Sierra,"11,988","11,996",10791,,,".Sierra County, New Mexico",,,
Socorro,"17,866","17,861",16637,,,".Socorro County, New Mexico",,,
Taos,"32,937","32,933",32723,,,".Taos County, New Mexico",,,
Torrance,"16,383","16,380",15461,,,".Torrance County, New Mexico",,,
Union,"4,549","4,553",4059,,,".Union County, New Mexico",,,
Valencia,"76,569","76,585",76688,,,".Valencia County, New Mexico",,,
Albany,"304,204","304,208",305506,,,".Albany County, New York",,,
Allegany,"48,946","48,923",46091,,,".Allegany County, New York",,,
Bronx,"1,385,108","1,384,580",1418207,,,".Bronx County, New York",,,
Broome,"200,600","200,675",190488,,,".Broome County, New York",,,
Cattaraugus,"80,317","80,337",76117,,,".Cattaraugus County, New York",,,
Cayuga,"80,026","80,008",76576,,,".Cayuga County, New York",,,
Chautauqua,"134,905","134,907",126903,,,".Chautauqua County, New York",,,
Chemung,"88,830","88,847",83456,,,".Chemung County, New York",,,
Chenango,"50,477","50,511",47207,,,".Chenango County, New York",,,
Clinton,"82,128","82,131",80485,,,".Clinton County, New York",,,
Columbia,"63,096","63,066",59461,,,".Columbia County, New York",,,
Cortland,"49,336","49,290",47581,,,".Cortland County, New York",,,
Delaware,"47,980","47,962",44135,,,".Delaware County, New York",,,
Dutchess,"297,488","297,454",294218,,,".Dutchess County, New York",,,
Erie,"919,040","919,134",918702,,,".Erie County, New York",,,
Essex,"39,370","39,373",36885,,,".Essex County, New York",,,
Franklin,"51,599","51,601",50022,,,".Franklin County, New York",,,
Fulton,"55,531","55,513",53383,,,".Fulton County, New York",,,
Genesee,"60,079","59,934",57280,,,".Genesee County, New York",,,
Greene,"49,221","49,214",47188,,,".Greene County, New York",,,
Hamilton,"4,836","4,841",4416,,,".Hamilton County, New York",,,
Herkimer,"64,519","64,469",61319,,,".Herkimer County, New York",,,
Jefferson,"116,229","116,232",109834,,,".Jefferson County, New York",,,
Kings,"2,504,700","2,504,721",2559903,,,".Kings County, New York",,,
Lewis,"27,087","27,090",26296,,,".Lewis County, New York",,,
Livingston,"65,393","65,206",62914,,,".Livingston County, New York",,,
Madison,"73,442","73,452",70941,,,".Madison County, New York",,,
Monroe,"744,344","744,394",741770,,,".Monroe County, New York",,,
Montgomery,"50,219","50,264",49221,,,".Montgomery County, New York",,,
Nassau,"1,339,532","1,339,880",1356924,,,".Nassau County, New York",,,
New York,"1,585,873","1,586,381",1628706,,,".New York County, New York",,,
Niagara,"216,469","216,480",209281,,,".Niagara County, New York",,,
Oneida,"234,878","234,860",228671,,,".Oneida County, New York",,,
Onondaga,"467,026","467,067",460528,,,".Onondaga County, New York",,,
Ontario,"107,931","108,099",109777,,,".Ontario County, New York",,,
Orange,"372,813","372,826",384940,,,".Orange County, New York",,,
Orleans,"42,883","42,890",40352,,,".Orleans County, New York",,,
Oswego,"122,109","122,105",117124,,,".Oswego County, New York",,,
Otsego,"62,259","62,278",59493,,,".Otsego County, New York",,,
Putnam,"99,710","99,654",98320,,,".Putnam County, New York",,,
Queens,"2,230,722","2,230,619",2253858,,,".Queens County, New York",,,
Rensselaer,"159,429","159,433",158714,,,".Rensselaer County, New York",,,
Richmond,"468,730","468,730",476143,,,".Richmond County, New York",,,
Rockland,"311,687","311,691",325789,,,".Rockland County, New York",,,
St. Lawrence,"111,944","111,940",107740,,,".St. Lawrence County, New York",,,
Saratoga,"219,607","219,598",229863,,,".Saratoga County, New York",,,
Schenectady,"154,727","154,751",155299,,,".Schenectady County, New York",,,
Schoharie,"32,749","32,723",30999,,,".Schoharie County, New York",,,
Schuyler,"18,343","18,362",17807,,,".Schuyler County, New York",,,
Seneca,"35,251","35,248",34016,,,".Seneca County, New York",,,
Steuben,"98,990","98,982",95379,,,".Steuben County, New York",,,
Suffolk,"1,493,350","1,493,116",1476601,,,".Suffolk County, New York",,,
Sullivan,"77,547","77,501",75432,,,".Sullivan County, New York",,,
Tioga,"51,125","51,049",48203,,,".Tioga County, New York",,,
Tompkins,"101,564","101,592",102180,,,".Tompkins County, New York",,,
Ulster,"182,493","182,519",177573,,,".Ulster County, New York",,,
Warren,"65,707","65,692",63944,,,".Warren County, New York",,,
Washington,"63,216","63,254",61204,,,".Washington County, New York",,,
Wayne,"93,772","93,751",89918,,,".Wayne County, New York",,,
Westchester,"949,113","949,218",967506,,,".Westchester County, New York",,,
Wyoming,"42,155","42,154",39859,,,".Wyoming County, New York",,,
Yates,"25,348","25,364",24913,,,".Yates County, New York",,,
Alamance,"151,131","151,155",169509,,,".Alamance County, North Carolina",,,
Alexander,"37,198","37,182",37497,,,".Alexander County, North Carolina",,,
Alleghany,"11,155","11,152",11137,,,".Alleghany County, North Carolina",,,
Anson,"26,948","26,929",24446,,,".Anson County, North Carolina",,,
Ashe,"27,281","27,240",27203,,,".Ashe County, North Carolina",,,
Avery,"17,797","17,807",17557,,,".Avery County, North Carolina",,,
Beaufort,"47,759","47,784",46994,,,".Beaufort County, North Carolina",,,
Bertie,"21,282","21,275",18947,,,".Bertie County, North Carolina",,,
Bladen,"35,190","35,170",32722,,,".Bladen County, North Carolina",,,
Brunswick,"107,431","107,429",142820,,,".Brunswick County, North Carolina",,,
Buncombe,"238,318","238,330",261191,,,".Buncombe County, North Carolina",,,
Burke,"90,912","90,837",90485,,,".Burke County, North Carolina",,,
Cabarrus,"178,011","178,121",216453,,,".Cabarrus County, North Carolina",,,
Caldwell,"83,029","83,058",82178,,,".Caldwell County, North Carolina",,,
Camden,"9,980","9,980",10867,,,".Camden County, North Carolina",,,
Carteret,"66,469","66,463",69473,,,".Carteret County, North Carolina",,,
Caswell,"23,719","23,731",22604,,,".Caswell County, North Carolina",,,
Catawba,"154,358","154,717",159551,,,".Catawba County, North Carolina",,,
Chatham,"63,505","63,485",74470,,,".Chatham County, North Carolina",,,
Cherokee,"27,444","27,447",28612,,,".Cherokee County, North Carolina",,,
Chowan,"14,793","14,793",13943,,,".Chowan County, North Carolina",,,
Clay,"10,587","10,590",11231,,,".Clay County, North Carolina",,,
Cleveland,"98,078","98,032",97947,,,".Cleveland County, North Carolina",,,
Columbus,"58,098","58,124",55508,,,".Columbus County, North Carolina",,,
Craven,"103,505","103,498",102139,,,".Craven County, North Carolina",,,
Cumberland,"319,431","319,431",335509,,,".Cumberland County, North Carolina",,,
Currituck,"23,547","23,547",27763,,,".Currituck County, North Carolina",,,
Dare,"33,920","33,920",37009,,,".Dare County, North Carolina",,,
Davidson,"162,878","162,822",167609,,,".Davidson County, North Carolina",,,
Davie,"41,240","41,221",42846,,,".Davie County, North Carolina",,,
Duplin,"58,505","58,417",58741,,,".Duplin County, North Carolina",,,
Durham,"267,587","270,001",321488,,,".Durham County, North Carolina",,,
Edgecombe,"56,552","56,539",51472,,,".Edgecombe County, North Carolina",,,
Forsyth,"350,670","350,638",382295,,,".Forsyth County, North Carolina",,,
Franklin,"60,619","60,563",69685,,,".Franklin County, North Carolina",,,
Gaston,"206,086","206,098",224529,,,".Gaston County, North Carolina",,,
Gates,"12,197","12,185",11562,,,".Gates County, North Carolina",,,
Graham,"8,861","8,858",8441,,,".Graham County, North Carolina",,,
Granville,"59,916","57,538",60443,,,".Granville County, North Carolina",,,
Greene,"21,362","21,353",21069,,,".Greene County, North Carolina",,,
Guilford,"488,406","488,454",537174,,,".Guilford County, North Carolina",,,
Halifax,"54,691","54,624",50010,,,".Halifax County, North Carolina",,,
Harnett,"114,678","114,691",135976,,,".Harnett County, North Carolina",,,
Haywood,"59,036","59,032",62317,,,".Haywood County, North Carolina",,,
